,Tweets
37,"Your Zakat enables us to transform lives. Together, we can #EasetheBurdenofCancer & make a difference that will last a lifetime. This Ramazan, give your #Zakat & donations to Shaukat Khanum Hospitals for the treatment of deserving cancer patients. 
Visit http://bit.ly/Zakat23"
38,"آج عوام نے تمام تر رکاوٹوں اور نگران حکومت کی چالوں کو شکست دے کر اپنا فیصلہ عمران خان کے حق میں سنا دیا۔
#حقیقی_آزادی_جلسہ"
39,"لاہور مینار پاکستان میں عوام کا ریفرنڈم ! 
 #حقیقی_آزادی_جلسہ"
40,"Why are the elite boomers so afraid of the rise of #PTI?
The answer is simple. They are confronting an existential threat to the political discourse they  forged for the past 70 years to benefit them and their generations.
For them, how can this ""nobody"" address thousands. (1/3)"
41,"It was 25th March 1992 when Pakistan under the leadership of skipper Imran Khan won the World Cup. On the 25th March 2023 at Minar-e-Pakistan, we refreshed some of the cricket memories from the legends Khan's era. Crowds loved it. 
#حقیقی_آزادی_جلسہ"
42,"What a powerful speech by IK at Minar e Pakistan! 

1) he has lifted the Nation once again 

2) stripped the establishment naked by showing the video evidence 

3) demonstrated that Pakistan has changed; the roars of the passionate crowd gives goosebumps

#جلسہ_نہیں_ریفرینڈم_ہے"
43,"Remember this guy? Look, he's addressing PTI jalsa today. "
44,"Allahumdullilah, after getting a post arrest bail in Quetta, Br. 
@HniaziISF
 has also gotten a bail in another frivolous case in Islamabad. We will ensure that the fascist regime is held accountable for subjecting an innocent man to illegal & inhumane treatment.

Our Lion is Back!"
45,خان بلٹ پروف شیشے کے پیچھے دشمنوں کی وجہ سے نہی بلکہ اپنے ملک کے غداروں کی وجہ سے ہے. دشمن میں ظرف ہوتا ہے، سامنے سے وار کرتا ہے.
46,لگتا ہے ن لیگ نے ماضی کی طرح ایک بار پھر سپریم کورٹ  میں پھوٹ ڈالنے اور حملہ کرنے کا پلان بنا لیا ہے۔  لیکن اس بار قوم چیف جسٹس کے ساتھ کھڑی ہے
47,پاکستان تحریکِ انصاف کا آج لاہور میں جلسہ ہوگا، عمران خان اہم خطاب میں آئندہ کے لائحہ عمل کا اعلان کریں گے، تیاریاں مکمل۔۔!!!
48,"Democracy?
Gayi bhaar main!
#Lahore"
49,"IK’s roadmap for Pakistan
1. overseas investment 
2. enabling exporters
3. tourism
4. minerals
5. agriculture
6. boosting small and medium industries
7. restructuring big corporations
8. expanding  tax net
9. ensuring rule of law
10. initiating humanitarian programs"
50,Shukriya Lahore!! #StatesmanSpeech
51,"#مینار_پاکستان_جلسہ و بارش سے متعلق اور عمران خان کو گولیاں لگنے کا بدلہ کیسے لیا جاۓ- ؟؟ 

#ReleaseAzharMashwani #ReleaseHassaanNiazi"
52,"Islamabad! There’s a protest organised against the abduction of 
@MashwaniAzhar
 tomorrow at Islamabad Press Club. Time: 2PM! #ReleaseAzharMashwani"
53,"مرد مومن اظہر مشوانی کو نامعلوم افراد نے لاھور سے اغواء کر لیا! ایسے ہتھکنڈوں سے حقیقی آزادی کی جدوجہد کو ختم نہیں کرسکتے۔ ان نوجوانوں کو گرفتار کرکے ان کی آزاد سوچ کو غلام نہیں بنا سکتے 

#ReleaseAzharMashwani"
54,"آج دوپہر 3 بجے اظہر مشوانی کی رہائی کے لیے لاہور پریس کلب کے سامنے بڑے احتجاج میں زیادہ سے زیادہ افراد کی شرکت کی درخواست ہے! 
 #ReleaseAzharMashwani"
55,عمران خان کی لاہور ہائیکورٹ میں پیشی کے مناظر
56,"Today is March 27 (I've kept the sticker), the date when Imran Khan changed Pakistan's politics last year, the next phase of PTI's twenty-six-year political struggle, which is called a national movement, is appropriate. (cont..)"
57,لاہور  #حقیقی_آزادی_جلسہ
58,Haripur Police raided the house of Bilal PTI SMT Head Dist Haripur. He wasn't there so they have picked up his elderly father & uncle!! Completely against KPK norms!! Shameful!! Release Bilal's elderly father & uncle immediately.  @PTIofficial @PTIHaripur1
59,"یہ باشعور قوم اپنے لیڈر عمران خان کے ایک اشارے پر ہر رکاوٹ  کو عبور کرتے ہوئے مینار پاکستان جلسہ گاہ پر موجود، کارکنان اور عوام جذبہ حب الوطنی سے سرشار ہیں، پاکستان کے یہ جانثار اپنے قائد پر مر مٹنے کیلئے تیار ہیں۔
#حقیقی_آزادی_جلسہ"
60,عمران خان سے انسدادِ دہشت گردی عدالت میں خصوصی گفتگو: #حقیقی_آزادی_جلسہ
61,اظہر مشوانی کو رہا کرو! #ReleaseAzharMashwani
62,اگر کسی شہری کے خلاف کوئی الزام ہے تو قانون کے دائرہ کے اندر رہ کر ہی کاروائی ہو سکتی ہے لیکن جس طرح اظہر مشوانی دو دن سے لاپتہ ہے یہ تشویشناک بھی ہے افسوس ناک بھی ہے ایسے غیر قانونی واقعات کی روک تھام کے لیے عدلیہ پر بھی بھاری ذمہ داری عائد ہوتی ہے لیکن پتہ نہیں کیوں وہ خاموش ہے https://twitter.com/MianAliAshfaq/status/1639505382727905282…
63,"“I want to tell my Nation to never back off against these fascist”-
@ImranKhanPTI
 #حقیقی_آزادی_جلسہ"
64,"اظہر مشوانی کو اٹھا لیا وہ پتہ نہیں کہاں ہے؟ میرے بھانجے حسان نیازی پر تشدد اور ذلیل کرنے کی کوشش کی، یاد رکھو عزت اور ذلت صرف اللہ کے ہاتھ میں ہے۔ عمران خان

 #حقیقی_آزادی_جلسہ"
65,Even my parked car with no one inside was attacked with windows smashed. This is pure fascism being carried out at behest of IG Islamabad backed by the Neutrals to create terror in ordinary citizens who support PTI.
66,"ظلم و جبر اور فسطائیت کا یہ تاریک باب قوم کبھی نہیں بھولے گی۔ 
#ReleaseAzharMashwani"
67,"لاہوریوں دل خوش کر دیتا جے  
 #لاہور_جلسہ"
68,"Bravery is channelling his hurt and pain into demanding of fear to move aside and out of his way.

#ReleaseHassaanNiazi"
69,"”شکریہ لاہور شکریہ پاکستان - کیا تاریخی جلسہ خان صاحب نے کیا جس کو آپ نے کامیاب بنایا۔ لاہوریوں توسی چھا گئے ہو“ via 
@mjkhanlovelypk1
 

#جلسہ_نہیں_ریفرینڈم_ہے"
70,"1940 میں قرارداد پاکستان پیش کی گئی تھی اور آج اسی مقام پر عمران خان نے پاکستان بچانے کی قرارداد پیش کی ہے ! 

 #StatesmanSpeech"
71,"آج حیدرآباد میں بلدیاتی الیکشن کی دو یوسی میں ری الیکشن ہوا آج کا صرف 2 یوسی کا الیکشن پولیس پیپلزپارٹی کی غنڈہ گردی عروج پر رہی پوری انتظامیہ پیپلزپارٹی کی سپورٹ پر رہی کارکنان کو مارا گیا ان پر۔تشدد کیا گیا۔
#حیدرآباد_کپتان_کا"
72,"نکلو اپنے مستقبل کی خاطر
نکلو اپنے بچوں کی خاطر
نکلو آزادی کی خاطر
ورنہ حالات اس سے بھی بدتر ہو جائیں گے

#چلو_چلو_مینار_پاکستان_چلو"
73,"Mendatory selfie when u see people oozing in, left right & centre despite crackdowns on workers+leaders intimidating others,despite major road blocks & u see enormous crowd charged up cheering for their leader.
@fawadchaudhry
 
@SibgatullahVirk
 
@RizwanAhmedCMD
 
#حقیقی_آزادی_جلسہ"
74,"Thread by 
@iKarachiwala
 on the anniversary of historic March 27, 2022 Jalsa where Imran Khan changed the dynamics of Pakistan's politics! #پاکستان_کی_ضرورت_عمران"
75,"I've compiled a detailed report explaining RCO in Pak & the fascism, human rights violations & ruination of rule of law that followed. Purpose - 1/2

CC: 
@fawadchaudhry
 @MoeedNj
 @FarrukhHabibISF
 @sayedzbukhari
 @ShahabSpeaks
 @Hammad_Azhar
 @FaisalJavedKhan"
76,جبری گمشدگی اور اغواء پر اظہر مشوانی کی اہلیہ کا چیف جسٹس آف پاکستان کو خط #ReleaseAzharMashwani
77,ہار گۓ ہو، ہار مان لو!!!
78,"… 
@agentjay2009
 tell your team we are all in this together. This shall pass too. Stay strong comrades. #PakistanUnderFascism"
79,"تو یہیں ہار گیا ہے مرے بزدل دشمن 
مجھ سے تنہا کے مقابل ترا لشکر نکلا 

#PakistanUnderFascism
#BehindYouPTISMT"
80,"When the ppl rise no roadblock or any impediment by the State can stop them. People came from all over Lahore despite blockades (see map) to attend PTI jalsa at Minar-i-Pakistan. Amazing crowd, intense passion & resolute commitment. This was more than a jalsa, it was a referendum"
81,"People like Usman Jora should’ve been honoured with gallantry awards.
Instead, he’s being illegally detained in the fascist state of Pakistan."
82,"اس قوم کا بس ایک ہی مطالبہ ہے!! آزادی!!!

#حقیقی_آزادی_جلسہ 
#جلسہ_نہیں_ریفرینڈم_ہے"
83,"ہمارے سوشل میڈیا کے ورکر اظہر مشوانی کو اٹھایا ہے اور پتہ نہیں کدھر رکھا ہے اس کی بہنوں کے مجھے میسجزُآرہے ہیں اس کے بھائ مجے ملے ہیں اس کے والد و والدہ پریشان ہیں  اس کی اہلیہ پریشان ہیں ۔ عمران خان

 #ReleaseAzharMashwani"
84,"میڈیا پر بلیک آؤٹ کر کے۔  گرفتاریاں کر کے۔ سارا پنجاب بند کر کے۔ کرفیو کا سما بنا کر۔ تشدد کر کے۔  سب کچھ کر کے دیکھ لیا لیکن لاہور  نے ببانگ دہل خان کے پیچھے سیاسی بیت کر ڈالی۔   

شادی ہالوں میں جلسے کرنے والے آج رات  Lexotanil کی گولیاں کھا کر سونے پر مجبور گئے۔ 

اللہ الحق ہے"
85,Chairman Imran Khan off to Islamabad for yet another court appearance. May Allah keep him safe!
86,"یہ آرٹیکل ""گھڑیوں کی لوٹ سیل""ان 3 چیزوں پر مشتمل ہے 
(1)تحائف ریاست کے لئے ہوتے ہیں نہ کہ منصب داروں کے لیے  (2)چھپائیں' تلاش کریں اور لے اڑیں (3)غبن کرنے والوں کو سزا دینا"
87,"حکومتی ظلم و جبر کی کوئی مثال نہیں ملتی، دن دیہاڑے اظہر مشوانی کو لاہور سے اٹھا لیا گیا اور ابتک اسکا کچھ پتہ نہیں۔ 
@fawadchaudhry
  #ReleaseAzharMashwani"
88,"اگر آپ کا یہ خیال ہے یہ مافیا اتنی آسانی سے پاکستان کی جان چھوڑ دے گا تو کسی غلط فہمی میں نہ رہیں، ایک قوم کو اپنی آزادی کے لیے جدوجہد کرنی پڑتی ہے قربانیاں دینی پڑتی ہیں۔
@ImranKhanPTI
 
#حقیقی_آزادی_جلسہ"
89,چئیرمین عمران خان زمان پارک سے اسلام آباد ہائی کورٹ کے لیے روانہ
90,"ان کے لیے Salute سے کم کچھ نہیں - یہ لوگ تھے جنہوں نے جلسہ کامیاب بنایا- #جلسہ_نہیں_ریفرینڈم_ہے

#StatesmanSpeech"
91,رات بارے بجے جلسہ گاہ کے مناظر۔
92,"فواد چوہدری اور اسد عمر , 
@AzamKhanSwatiPk
 اظہر مشوانی کے بھائی کے ساتھ پریس کانفرنس کر رہے ہیں- #ReleaseAzharMashwani"
93,"سابق لیڈ PTI SMT ضلع بہاولپور اور صدر پی ٹی ائی اوچ شریف مکی معاویہ 
@Makkimaviya
 کی گرفتاری کی شدید مذمت کرتے ہیں ،"
94,"Shocked at silence of UNHCHR 
@volker_turk
 on the massive HR violations by the present rulers in Pak. Pak is State Party to 7 HR conventions including ICCPR & CAT. Yet everyday violations happening with custodial torture, abductions, total muzzling of press, home break-ins,"
95,چئیرمین عمران خان آج رات مینار پاکستان لاہور میں جلسہ عام سے خطاب کریں گے  #چلو_چلو_مینار_پاکستان_چلو
96,"“Who will decide which will be the correct time for election, who will decide when funds will be available and when not? The constitution is supreme”-
@ImranKhanPTI
 #حقیقی_آزادی_جلسہ"
97,"ماشاء اللہ لاہور !!!!! 
 #حقیقی_آزادی_جلسہ"
98,"Cc Media Outlets: 
@TIME
@WSJ
 
@nytimes
 
@CNN
@BBCWorld
@washingtonpost
 
@Reuters
 
@EconomicTimes
 
@AlJazeera
@thehill
 
@CNNi
@thedailybeast
 
@khaleejtimes
 
@democracynow
 
@NikkeiAsia"
99,"PTI Chairman 
@ImranKhanPTI
 talks about detailed points of his program to revive Pakistan’s economy:  #جلسہ_نہیں_ریفرینڈم_ہے"
100,"Official ANP spokesperson 
@SamarHBilour
 publicly admitting the Rs 20 bln atta subsidy programme financed with provincial funds by the ""neutral"" caretaker govt is actually a political tool in the hands of PDM, JUI & ANP.
Will 
@ECP_Pakistan
 & caretaker CM Azam Khan remain silent?"
101,"Complete breakdown of Rule of Law under cabal of crooks reflected in ICT police picking up 3 kids, 12 yr Asad, 13 yr Usman & 14 yr Saqib, as PTI ""terrorists"". Now they have been sent on judicial remand violating our law for Juveniles. Request CJ IHC to intervene & set them free."
102,"We demand the immediate release of Azhar Mashwani, Shahid Hussain, Dr. Rubina Akhtar, Hassan Niazi, and thousands of other PTI workers who have been arrested under bogus cases or abducted by authorities in Pakistan. The PDM government's crackdown on PTI workers and leaders is… Show more"
103,#ReleaseAzharMashwani
104,"پی ٹی آئی کراچی کی جانب سے شاہ فیصل کالونی نمبر 3 میں آج رات 9 بجے مینار پاکستان لاہور جلسے کی لائیو اسکریینگ کا اہتمام کیا گیا ہے،

تمام کراچی والوں سے شرکت کی درخواست ہے۔ 
 #حقیقی_آزادی_جلسہ"
105,"Worst form of crackdown on PTI SMT by this fascist regime:

Azhar Mashwani: Focal Person to IK - missing since 4 days 
Arshad Siddiqui: Sindh SMT Ops Lead missing since noon
Ikram Khatana: KP SMT Lead - house raided
Bilal: KP SMT ops Lead - House Raided, brother & father arrested"
106,"میں حق اور سچ کا نعرہ ہوں
سبز ہلالی پرچم کا
 چمکتاچاندستارہ ہوں
میں ملک و قوم سےوفا کی 
ایک سچی نشانی ہوں
ہاں میں اظہرمشوانی ہوں
میں آغازداستان آزادی ہوں
ہاں میں حسان نیازی ہوں

میری طرف سے اپنےبھائیوں
@MashwaniAzhar
 ، 
@HniaziISF
 کےلیے 
#ReleaseAzharMashwani 
#ReleaseHassanNiazi"
107,عمران خان کے فوٹو گرافر نعمان کی گرفتاری کی فوٹیج
108,"Today is the 23rd March, Pakistan Day and 1st of Ramazan and this fascist government has abducted another political activist and our friend 
@MashwaniAzhar
 from outside his house in Lahore. 

Horrific times in Pakistan with martial law fully implemented. 

#ReleaseAzharMashwani"
109,"چئیرمین عمران خان موٹروے پر لاہور رواں دواں۔

افطار کے وقت دعا مانگتے ہوئے۔"
110,تنگ آمد عوام کو بجنگ آمد سے روکیں
111,"دنیا سے سیلاب متاثرین کی لیے امداد میں ملنے والا سامان سندھ میں مقامی حکومت کے ضمنی انتخاب میں ووٹ خریدنے کے لیے استعمال ھونے لگا۔  پیپلز پارٹی عمرکوٹ میں ایک پولنگ جیتنے کے لیے دھاندھلی کرنے لگی۔ سیلاب متاثرین کے شناختی کارڈ بلانکیٹ کے عیوض لے گئے۔ 
#اظہر_مشوانی_کو_رہا_کرو"
112,چادر اور چار دیواری کا تقدس کہاں گیا؟ کوئی گھر محفوظ نہیں۔
113,"ریاست مدینہ کی بنیاد عدل و انصاف پر تھی، وہاں انسان آزاد ہو گئے تھے اور پھر انہوں نے دنیا کی امامت کی۔ عمران خان 
 #حقیقی_آزادی_جلسہ"
114,چئیرمین عمران خان نےمعیشت بحالی کےکئے10نکاتی پلان دےدیا۔ #StatesmanSpeech
115,"""پاکستان تحریک انصاف، مینار پاکستان جلسہ""
آج شب 9 بجے بعد از نماز تروایح 
#حقیقی_آزادی_جلسہ
Vc: 
@ItzAhmedkhalfan"
116,"آ رہے ہیں مینارِ پاکستان
آرہے ہیں #حقیقی_آزادی_جلسہ کیلئے
آج مینارِ پاکستان میں  پر 75 سال سے نافظ فرسودہ نظام کو بدلنے کی قرارداد پیش کی جائےگی
یہ قرارداد کروڑوں عوام کے دِلوں کی دھڑکن 
@ImranKhanPTI
 پیش کریں گے
ہر پاکستانی کو پہنچنا چاہیے چاہے جیسے پہنچے، پہنچو پاکستان کی خاطر"
117,"In 1997 PMLN attacked #SupremeCourt of Pakistan and now history is being repeated by attacking Chief Justice of Pakistan.

The entire Pakistan is with Supreme Court.

#NationSupportsCJP"
118,اظہر مشوانی جمعرات دوپہر لاہور سے اغوا کیا گیا ہے48 گھنٹہ گزرنے کے باوجودابھی تک اسکی custody کسی ادارے نے  ظاہر نہیں کی۔ پاکستان میں جبری گمشدگی کا سامنا یہ نوجوان کررہا ہے جو ملک کی بہتری کےخواب دیکھتا ہے #ReleaseAzharMashwani
119,Impressive show by PTI in lahore! https://twitter.com/hasanrazalhr/status/1639700721972002817…
120,"آپریشن رجیم چینج مکمل ناکام۔
آؤ لڑو ۔۔۔۔
#حقیقی_آزادی_جلسہ"
121,"کپتان بنو گے۔۔۔ ہاں بھئی ہاں
 #حقیقی_آزادی_جلسہ"
122,"Azhar has been missing for 44 hours now. I can only imagine what his mother & wife are going through. Here is his wife 
@MahnoorAzhar_
 ‘s voice note from space session; we are all pleading for justice to Honorable Chief Justice & Supreme Court of Pakistan #ReleaseAzharMashwani"
123,"تحریک انصاف مینار پاکستان جلسہ 

ہفتہ 25 مارچ

بعد از نماز تراویح
رات 9 بجے!

 #ReleaseAzharMashwani"
124,جاگ اٹھا ہے سارا وطن! ماشاء اللہ  #حقیقی_آزادی_جلسہ
125,"یہ دوہرا نظام کب تک؟ 

#ReleaseAzharMashwani"
126,تحریک انصاف کے سینکڑوں ورکرز کو گرفتار کیا گیا اس امید میں کہ اس کے بعد سوشل میڈیا پر صرف حکومتی ٹاؤٹ راج کریں گے کیا فرق پڑا؟ نہ سمجھ ہے نہ شعور کہ سوشل میڈیا پرکروڑوں لوگ ہیں وہ سیاسی جماعتوں سے وابستہ نہ بھی ہوں ان کی آزاد رائے ہو گی اور یہ رائے اس جبر کے نظام کو مسترد کرتی ہے
127,"یہ بازی حق کی بازی ہے
یہ بازی حق ہی جیتے گا
یہ بازی سچ کی بازی ہے
یہ بازی سچ ہی جیتے گا
یہ پاکستان کی بازی ہے
یہ پاکستان ہی جیتے گا
امجد نواز  
@AmjadNawazUSA
#حقیقی_آزادی_جلسہ"
128,"پوری قوم اپنی اعلیٰ عدلیہ کیساتھ کھڑی ہے!!
#NationSupportsCJP"
129,"Senator 
@AzamKhanSwatiPk
’s exclusive message from Minar-E-Pakistan! #حقیقی_آزادی_جلسہ"
130,"A protest was held in Sacramento, CA on Mar 26th, by Pakistani-Americans concerned about the state of democracy and the violations of human rights in Pakistan.

Protestors called for elections to be held in order to set the country back on the path to stability.

#PTIUSAProtest… Show more"
131,"Who’s the real GOAT? 

Video shared by: 
@insafnorway"
132,"15.7 million views on YouTube!!!
Imran Khan doesn't need the media, Media needs IMRAN KHAN.
Analysis by: 
@asherbajwa
 
#حقیقی_آزادی_جلسہ"
133,“آج آپکا خاص طور پر شکریہ ادا کرنا چاہتا ہوں کہ کے اتنی رکاوٹوں کے باوجود آج یہاں مینار پاکستان پہنچے میں آج جو اس ملک میں طاقت میں ہیں تمام اداروں کو پیغام دینا چاہتا ہو مجھے ڈر ہیں ہمارا ملک وہاں پہنچ جائیں گا جہاں کوئی نہیں سنبھال سکتا انڈسٹری بند ہو رہی ہے مہنگائی بڑھتی جا… Show more
134,"Mora than 100h, and Azhar Mashwani still couldn’t be produced in any court, still no FIR has been presented.

#ReleaseAzharMashwani immediately!!"
135,"چئیرمین عمران خان لاہور مینارپاکستان جلسہ گاہ پہنچنے کے مناظر -- عوام کا سمندر 

زمان پارک سے ینار پاکستان جلسہ گاہ مکمل ویڈیو دیکھنے کے لیے اس لنک پر کلک کریں 
https://youtube.com/@iktoday8108"
136,"دو چار قدم پہ منزل ہے
گھبرائے ہیں نہ گھبرائیں گے
ہم آزادی کی خاطر اب
ہر زنداں سے ٹکرائیں گے
ہم زندہ رہنے کی خاطر
اب شوق سے مرتے جائیں گے

(کلام و آواز: امجد نواز)

#حقیقی_آزادی_جلسہ"
137,"پاکستان تحریک انصاف کے وائس چیئرمین مخدوم شاہ محمود قریشی، سیکرٹری جنرل پی ٹی آئی اسد عمر اور سابق ایم این اے مخدوم زادہ زین قریشی کی اسلام آباد میں آسٹرین سفیر کی رہائش گاہ پر یورپی یونین ممالک کے سفراء کے ساتھ ملاقات

دوران ملاقات پاکستان کی موجودہ معاشی و سیاسی صورتحال پر… Show more"
138,Marriyum Aurangzaib wants anchors to condemn the tweet of ⁦@fawadchaudhry⁩ - Imagine!
139,"پی ٹی آئی چئیرمن عمران خان  حفاظتی ضمانت کے لیے اے ٹی سی کورٹ میں پیشی کے لیے روانہ #حقیقی_آزادی_جلسہ 
 https://twitter.com/RegnlTelegraph/status/1639535651212128257/video/1…"
