,Tweets
34,سلسلہ جاری ہے۔ ہم حکومتی اداروں کیجانب سے جھوٹے مقدموں کے اندراج اور اختیارات کے غلط استعمال میں اضافہ دیکھتے ہیں۔ہم نے اپنی نگاہوں کے سامنے بیرونی مدد سے پاکستان میں تبدیلئ حکومت کی سازش پروان چڑھتے اور پاکستان کو طوائف الملوکی کی بھینٹ چڑھتے دیکھا۔ مگر اعلیٰ عدلیہ خاموش تماشائی
35,اس میں3بیراج ہوں گےجن سے270ارب لٹر پانی کی بچت ہوگی جسکی لاہورکےزیرِزمین ذخیرۂ آب کواشد ضرورت ہے۔گزشتہ برس شروع کیاجانےوالا 5000 ایکڑرقبےپر محیط جنگل کا ماحول دوست رکھ جھوک منصوبہ بھی اسکاحصہ ہے۔سیلاب سےبچاؤ کیلئےقدرتی مٹی سےجدید انداز میں پُشتےبھی تعمیر کئے جائیں گے۔
36,پی ڈی ایم اور کرپشن کے پیسے پر پلنےوالی ایک بگڑی خاتون مریم کے SC کےججز پر شرمناک اور سوچےسمجھےحملوں کا واحد ہدف انتخابات سےفرار ہےاگرچہ یہ آئین کو روند کر ہی حاصل ہو۔سپریم کورٹ آف پاکستان پرحملوں سےیہ گروہ پاکستان میں جنگل کاقانون راسخ کرنےکےساتھ وفاق کوشدید نقصان پہنچا رہاہے
37,Imported govt of cabal of crooks & their handlers stooped to new lows last night when they tried to blackout my telethon for flood relief fund raising. First they pressured channels not to air telethon. When some channels continued to air telethon they threatened cable operators.
38,"Strongly condemn the repeated police raids on Pervez Elahi's home in Gujrat as well as arbitrary arrests & abductions of his supporters & those who worked with him. This is naked fascism on the part of Imported Govt & their Handlers, simply to spread fear in all who support us."
39,ماحول کےتحفظ اورخصوصاًاپنی آئندہ نسلوں کو موسمیاتی تغیرات کےاثرات سےمحفوظ بنانےکےلیے متعارف کروایاجانےوالا ہمارابلین ٹری سونامی پروگرام پہلےہی ماحول اورجنگلی حیات پرمثبت اثرات مرتب کررہاہے۔2500 ایکڑرقبےپرمحیط چھانگامانگا کی 2020سےپہلےکی ویران زمین
40,میں یہ نغمہ شہید علی بلال، جسے پیار سے ظلِ شاہ کے عُرف سے جانا جاتا تھا، سے منسوب کرتا ہوں۔ وہ ایک مخصوص انداز میں اپنے وطن سے محبت کرتاتھا۔ دورانِ حراست تشدد سے اسکی اذیت ناک موت ان پستیوں کو ظاہر کرتی ہے جن میں ہماری کرپٹ،بےرحم اور ظالم مقتدر اشرافیہ اتر چکی ہے۔
41,"After getting reports on the latest LG elections in Sindh it is apparent that the PPP has no commitment to fair & free elections. Instead it uses force, blackmail, police harassment, money to get votes. Now also clear why the ECP, Cabal of Crooks & their handlers sabotaged EVMs."
42,عمران ریاض،سمیع ابراہیم اور ایاز امیرجیسے دیگر صحافیوں نےدھمکیوں،پرتشددحملوں اورگرفتاریوں کا سامناکیا۔میڈیا اور آزادئ اظہار کے معاملے کو میں آئندہ ہفتے سے اپنی ملک گیر عوامی رابطہ مہم کا حصہ بناؤں گا۔اگر ہم نے محض مجھےاور PTIکونشانہ بنانے کیلئےاختیارکئےگئے
43,عارضۂ قلب میں مبتلا74سالہ سینیٹرسواتی کو فوراً رہا کیا جائے۔کیونکہ اوّل توانہوں نےایساکوئی جرم ہی نہیں کیا کہ اس ذہنی وجسمانی اذیت کےمستحق ٹھہریں۔ دوم یہ کہ انکےخلاف خودسَری اور انتقام پر مبنی اقدامات سےہماری فوج کی ساکھ، جو کہ ایک مضبوط پاکستان کیلئے ناگزیرہے، پر حرف آتاہے۔
44,میں ان تمام لوگوں کامشکور ہوں جو کل ہمارے راولپنڈی آزادی مارچ میں اتنی بڑی تعداد میں شریک ہوئے۔ جب تک ہم (ملک میں) قانون کی حکمرانی قائم نہیں کر لیتے اور حقیقی آزادی کی مراد نہیں پا لیتے،ہماری تحریک جاری رہے گی۔
45,"Strongly condemn fascist Modi govt's continuing torture of Kashmiri leader Yasin Malik in Tihar jail forcing him to go on hunger strike. His life is in extreme danger. I call on UNSG, UNHCHR & internatonal human rights orgs to take action against India & save Yasin Malik's life."
46,I have called on govt of Punjab to immediately provide flood assistance to ppl in the devasted areas of South Punjab & in the affected areas of Mianwali distt. I have also asked the KP govt to immed provide flood relief to the ppl in affected areas of Balochistan.
47,"Your Zakat enables us to transform lives. Together, we can #EasetheBurdenofCancer & make a difference that will last a lifetime. This Ramazan, give your #Zakat & donations to Shaukat Khanum Hospitals for the treatment of deserving cancer patients. 
Visit http://bit.ly/Zakat23"
48,Had an excellent meeting with Allama Raja Nasir & MWM delegation yesterday. All misunderstandings were cleared & they reiterated their commitment to our struggle for Haqeeqi Azadi. I assured them we would resolve any problems they may face in KP & Punjab.
49,But all this is doing is stoking a dangerous slide into anarchy by pitting the people against the govt. #PakistanUnderFascism
50,چونکہ حقیقی آزادی کیلئے ہمارا لانگ مارچ پھر سے شروع ہوچکا ہے چنانچہ میری اپنے تمام کارکنان کو ہدایت ہے کہ رستوں کی بندش کا سلسلہ فوری طور پر ختم کردیں۔
51,یہ ویڈیو شریف مافیا کی پوری حقیقت بیان کرتی ہے۔ جنہیں خریدا نہیں جاسکتا انہیں مٹایا جانا ضروری ہے۔
52,فسطائی امپورٹڈ حکومت نےآج میرے خطاب کی ٹی وی پر براہِ راست نشریات روک کر اور لیاقت باغ میں میری تقریر کے دوران عارضی طور پر یوٹیوب بند کرکے ایک نئی گراوٹ کا مظاہرہ کیا ہے۔ صحافیوں کو مسلسل دھمکانے اور چینلز کی نشریات بند کروانے کے بعد بھی یہ سب کیا گیا۔
53,میں اپنی قوم کو امپورٹڈسرکار اور ریاستی مشینری کیجانب سےان میڈیاہاؤسز اورصحافیوں کیخلاف کریک ڈاؤن کی ایک نہایت غیرمعمولی مہم کےبارےمیں متنبہ کرناچاہتاہوں جو PTI اور میرا بیانیہ عوام تک پہنچاتےہیں۔دوصحافیوں،ارشدشریف اورصابرشاکر کو اپنی جانیں بچانےکی فکر میں پاکستان چھوڑنا پڑا۔
54,"This was our second jalsa in Faisalabad in the last two months. This was even bigger than the first one. MashaAllah, Pakistan has changed and evolved politically. Only politically aware nations break the shackles of mental and physical slavery."
55,خلاف اسی طرح زبردستی جھوٹے بیانات حاصل کئےجائیں جس طرح یہ سوشل میڈیا کارکنان کیخلاف کررہے ہیں۔ یہ سب بالکل ناقابلِ قبول ہے۔ہم شہبازگِل پر تشدد ہی کیخلاف نہیں بلکہ اپنےخلاف کی جانےوالی ہر ماورائےآئین وقانون کارروائی کے تدارک کیلئے تمام ممکنہ قانونی اور سیاسی اقدامات اٹھائیں گے۔
56,جنرل (ر) پرویز مشرف کی رحلت کے موقع پر میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔ اللہ کریم انہیں اس صدمے کا بار اٹھانے کی سکت اور قوت عطا فرمائیں۔
57,حقیقی آزادی کے حوالے سے ہمارے نوجوانوں میں موجود تڑپ ہی تو ہے جس کیلئے میں نے ہمیشہ رب العزت سے دعا کی کہ ایک روز میری قوم کو اس سے آشنا کردے! وہ قومیں جن کے نوجوان آزادی کو اپنی زندگیوں سےبالا شمار کرتےہیں، واقعتاً کارنامے سرانجام دیتی ہیں۔
58,"Now the Kings of Crime, Zardari & SS having gotten their NRO2 are using their salvaged looted money to purchase Punjab MPAs making a mockery of laws & desecrating our Constitution.I am asking ppl of Pak that just as they came out & thwarted plan to steal Punjab election on 17July"
59,Bhakkar jalsa was biggest in its history and such a huge gathering is simply unimaginable for a bye election. Pakistan InshaAllah is about to wittness a revolution through the ballot box. #VoteOnJuly17
60,دہشتگردی کےانسداد کی ایک مربوط پالیسی کی مکمل عدم موجودگی+انٹیلی جنس وسائل کےلغو، بیہودہ اور جعلی آڈیوز/ویڈیوز کی تیاری پر ارتکازکیساتھ ہمیں دہشتگردی میں خطرناک اضافےکاسامناہےاورہمارےسیکیورٹی اہلکاربطورِ خاص اسکاہدف ہیں۔ہم دہشتگردی کی ان کارروائیوں+ دھمکیوں کی شدیدمذمت کرتےہیں
61,جس انداز میں سینیٹرسواتی کو نشانۂ انتقام بنایاجارہاہے وہ نہایت افسوسناک اور قابلِ مذمت ہے۔سینےمیں شدید درد اور سانس میں دشواری کےباعث انہیں صبح سویرےپمزمنتقل کیاگیا۔انکےٹیسٹس کےنتائج آنا باقی تھےکہ کوئٹہ پولیس نےانکی جان سےکھیلتےہوئے انہیں اسپتال سےفارغ کروایا اور ساتھ لےگئی
62,ضیاءمحیِّ الدین کی رحلت پر افسردہ ہوں۔میری ان سے شناسائی دہائیوں پرمحیط ہے۔وہ نہایت مہذب اوراردو ادب کےحوالےسے خاص طور پر ایک وسیع المطالعہ شخصیت تھے جنہیں تفریح کی دنیا میں ایک ادارےکامقام حاصل تھا۔وہ ہماری یادوں کاحصہ رہیں گے۔میری دعائیں اور ہمدردیاں انکےاہلِ خانہ کےساتھ ہیں
63,Total mismanagement of our economy by a corrupt & incompetent imported govt has crushed masses & salaried class with latest hike in petrol & diesel prices & Rs33/$ devaluation to Rs262.6/$. Elec & gas price hike & 35% unprecedented inflation expected with Rs200bn mini budget.
64,"In Ravi city, RUDA successfully conducted tests to convert toxic waste water into water fit for aquatic life. These treatment plants shall be the first of their kind on municipal level to convert Ravi into fresh perennial body."
65,Amazing turnout in Bahawalpur last night at my Haqiqi Azadi jalsa. Women participation was unprecedented despite the hot and humid conditions. And what stood out was the high level of understanding of all current issues by the record crowd. Thank you Bahawalpur.
66,ہرقسم کی دھمکیوں+دشنام درازی کےباوجودثابت قدم رہنے اورآئین وقانون کی بالادستی یقینی بنانےپر میںSCکےاپنے ججزکوخراجِ تحسین پیش کرتاہوں۔میں بیرسٹرعلی ظفر+انکی ٹیم کابھی مشکورہوں۔ضمنی انتخابات کےدوران غیرمعمولی تعداد میں دھاندلی کیخلاف نکلنےپراہلِ پنجاب بھی تحسین وتشکر کےمستحق ہیں!
67,لیفٹیننٹ جنرل (ر) امجدشعیب کی قابلِ مذمت گرفتاری ظاہر کرتی ہے کہ سرپرستوں کی آشیرباد سے تبدیلئ سرکار کی سازش سےجنم لینے والے مجرموں پرمشتمل سفّاک بندوبست کو بچانے کیلئے پاکستان میں جمہوریت اور آزادی کو پوری طرح تباہ کیا جا رہاہے۔
68,میں سازش اور ہارس ٹریڈنگ کے ذریعے قوم پر مسلط کردہ اس امپورٹڈ سرکار کو ہرگزتسلیم نہیں کرتا۔10 ماہ میں اس حکومت کے ہاتھوں معیشت کی تباہی، ننگی فسطائیت کے ذریعے جمہوریت کے قتل، قانون کی حکمرانی اور بنیادی حقوق کے خاتمے
69,"If anyone wants to understand why Pakistan's economy is now a disaster, just 2 incidents provide the answer. 75 year old Senator Azam Swati has been subjected to custodial torture, beaten up in front of his grandchildren, his house vandalised & sealed, & he is being dragged from"
70,"This is a message to my team when they contest the Punjab bye elections on Sunday against PMLN, the state machinery, the biased Election Commission plus Mr X and Mr Y. #بلا_چلاؤ_ملک_بچاؤ"
71,Even my parked car with no one inside was attacked with windows smashed. This is pure fascism being carried out at behest of IG Islamabad backed by the Neutrals to create terror in ordinary citizens who support PTI.
72,امپورٹڈحکومت نےمیڈیا+صحافیوں پرسنسرشپ اور ایذاء رسانی کو فسطائیت کی سطح تک پہنچا دیاہے۔اب بول کو محض اس لئےمعطل کردیاگیاہےکہ اس نےہمیں کوریج دی۔تمام میڈیا ہاوسزکیلئے پیغام ہےکہ سب سےبڑی+ مقبول ترین قومی سیاسی جماعت کوصفِ اوّل کےذرائع ابلاغ سےہٹادیاجائے۔یہ یکسرناقابلِ قبول ہے
73,I am appealing to the CJP to take notice of this letter's content. Already Senator Swati continues to suffer the worst form of human rights abuses sadly without any intervention from our honourable Judiciary.
74,"I want to first thank our PTI workers & voters of Punjab for defeating not just PMLN candidates but the entire state machinery, esp harassment by police, & a totally biased ECP. Thank you to all our Allies, PMLQ, MWM & Sunni Ittehad Council."
75,"وائر ٹرانسفرز کیلئے ABA نمبر 113024009 ہے۔ 

نئی قائم شدہ فاؤنڈیشن کیساتھ ہم پنجاب+پختونخواکے وزرائےاعلیٰ کیجانب سےکھولےگئےاکاؤنٹس میں بھی عطیات کی وصولی کا سلسلہ جاری رکھیں گے۔جن کئی ایک طریقوں سےآپ عطیہ کرسکتےہیں ان کی تفصیلات ذیل میں درج ہیں:
http://floodrelief2022.punjab.gov.pk/uploads/pakist…"
76,بریگیڈیئرمصطفیٰ کمال برکی کی ایک دہشت گرد حملے میں شہادت کی اطلاع پا کر رنجیدہ ہوں۔ میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔
77,کسی بھی مہذب ملک میں اتنی ڈھٹائی سےجھوٹ بولنےپر ہی نہیں بلکہ قوم کی دانش و ذہانت کی کھلی توہین پر ان دونوں بے شرموں کو جیل میں ڈالا جاتا۔جب ایک ملک ایسےخطرناک احمقوں کےقبضےمیں گر جاتا ہےجو یہ سمجھتے ہیں کہ سب اتنے ہی بیوقوف ہیں جتنےوہ خود، تو یہی سب کچھ دیکھنےکو ملتا ہے۔
78,"Everyone must turnout to vote in all the constituencies where bye elections are being held today. This is a referendum for Haqiqi Azadi from the cabal of crooks. We are contesting against all of PDM, the Election Commission and ""namaloom afraad""."
79,"This is what the corrupt & murderous cabal of crooks have wrought on the nation. They have violated our Constitution, fundamental rights & rule of law. Innocent, unarmed PTI workers, incl women, were targets of police violence & brutality with one worker murdered while in custody"
80,کل سہ پہر میں ایک ریلی سےاپنی انتخابی مہم کا آغاز کررہا ہوں۔KP اور پنجاب میں ہم انشاءاللہ عوام کو اس انتخاب میں ریکارڈ ٹرن آؤٹ کیلئےمتحرک کرینگےجو ہرلحاظ سےتاریخی ہوگا۔PTI بیک وقتPDMجماعتوں،انکے سرپرستوں،جنہیں غیرجانبدار ایمپائرز ہوناچاہئےتھا اور ریاستی مشینری کامقابلہ کرےگی
81,"Am grateful to masses that came when I went for my court  appearance. Everyone knows ruling cabal of crooks has only one aim, to jail me any which way till elections are over.  Already 96 cases on me & am sure after my appearance today I will hit my first century of court cases."
82,عزت مآب جناب پرنس کریم آغا خان چہارم کو انکی سالگرہ کے موقع پر دل کی گہرائیوں سے مبارکباد پیش کرتا ہوں۔پاکستان کی سماجی و اقتصادی  ترقی میں انکے گرانقدر تعاون و کردار کو ہم نہایت تحسین و قدر کی نگاہ سے دیکھتے ہیں۔
83,پاکستان تحریک انصاف کے کارکنان اور قیادت پشاور میں خوف کی زنجیریں توڑ کر جیل بھرو تحریک کے تحت پیدل مارچ کرتے ہوئے!
84,اسی طرح تنقید کےحق،جسےساری مہذب دنیا میں انکا بنیادی حق تصور کیا جاتا، کو انکا عظیم ترین جرم شمار کیاجانابھی نری وحشت ہے۔انہیں فوراً رہاکیا جائے! مقامِ افسوس ہےکہ ہمارا نظامِ انصاف سواتی کے بنیادی حقوق کی بار بار کی جانے والی خلاف ورزیاں روکنے پر بالکل آمادہ و تیار نہیں!
85,But the Kashmiris' spirit of resistance became stronger & it continues to strengthen. The selective morality of the international community & silence against India's brazen violations of all int laws & UN SC resolutions is condemnable.
86,"Despite threats and harassment, our workers junoon (passion) remains as strong as ever as I witnessed in Islamabad today."
87,Strongly condemn the terrorist attack on the police station. My condolences & prayers go to the families of the martyrs. The KP govt & its police force are in the frontline of fighting terrorism & must be a central part of any counter terrorism policy.
88,"ABA number for wire transfer 
113024009
In addition to the newly established foundation, we will continue to receive funds into accounts set up by respective CMs of Punjab & Khyber Pakhtunkhwa. The several ways in which you can donate are outlined here: 
https://floodrelief2022.punjab.gov.pk/uploads/pakistan_flood_relief_donation_details.pdf…"
89,شیخ رشید کی گرفتاری کی شدیدمذمت کرتاہوں۔رسوائےزمانہ ECPکی مقررکردہ ایسی متعصّب+منتقم نگران حکومت تاریخ میں اس سےپہلےہم پرکبھی مسلط نہ ہوئی۔سوال یہ ہےکہ آیا پاکستان اس عوامی تحریک کامتحمل ہوسکتاہےجس کیجانب ہمیں ایسےوقت میں دھکیلاجارہاہےجب امپورٹڈسرکار ہمارا دیوالہ نکال چکی ہے؟
90,"Clearly ""arrest"" claim was mere drama because real intent is to abduct & assassinate. From tear gas & water cannons, they have now resorted to live firing. I signed a surety bond last evening, but the DIG refused to even entertain it. There is no doubt of their mala fide intent."
91,"in terms of growth rate (6%), industry, agriculture, employment, construction, exports, remittances & tax collection - at an all time high. Now Pakistan faces unprecedented inflation hitting everyone, unemployment, food insecurity & Rupee in freefall."
92,اکبر لیاقت علی خان کی رحلت کے بارے میں جان کر رنجیدہ ہوں۔ میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔
93,"security forces of a 'friendly' Afghan govt. While our soldiers, police & local ppl are giving daily sacrifices wirh their lives, the worst part is that this increasing terrorist threat & attacks from across our Western border are finding no space in the discourse of this govt"
94,گوجرانوالہ میں کل ہماری حقیقی آزادی کی تحریک کےحالیہ مرحلےکاآخری اجتماع ہوگا۔اس جلسےمیں میں اپنےاہم ترین اگلےمرحلےکااعلان کروں گا۔امپورٹڈسرکار+اسکےسرپرست اس حقیقت پر کہ قوم نہایت ثابت قدمی سےPTIکےساتھ کھڑی ہے،بوکھلاہٹ کا شکارہیں اور مایوس کن اندازمیں مائنس ون کیجانب بڑھ رہےہیں۔
95,"Question for Shahbaz Sharif: Are you, out of PTI-fear, responsible for media gags on us, threat & violence against journalists & fake cases against them, forcing blackout of PTI & myself from TV & YouTube & the callous act of trying to blackout my flood relief telethon?"
96,I want to thank the LHCBA for their unanimous resolution in support of the Constitution & elections in 90 days & their condemnation of the excessive use of force & siege of  Zaman Park. I also want to thank the lawyers who walked to Zaman Park to show solidarity with us.
