,Unnamed: 0,Tweets,Unnamed: 2,Unnamed: 3,Unnamed: 4
63,64,"The eternal role of Hazrat Imam Hussain and Ahlul-e-Bayt is a beacon of light to get humanity out of the sufferings and difficulties it is facing. The golden principles like patience, loyalty, unity and tolerance of Imam-e-Ala Maqam will have eternal supremacy over false chaos, hatred and mutual division.",,,
64,65,"Happy to receive my brother President Emomali Rahmon at PM House today. We had very productive discussions & agreed to scale up the existing level of cooperation by focusing on energy, trade & security. We have the resolve to leverage our relations for the good of two countries.",,,
65,66,"Heading back to Pakistan today after the conclusion of my important trip to Qatar. Thank you to the government & people of Qatar, especially my brother HH Sheikh 
@TamimBinHamad
 for the warm welcome & excellent hospitality. Two aspects of the visit are noteworthy:",,,
66,67,"Today is the 74th death anniversary of the father of the nation, Quaid-e-Azam Muhammad Ali Jinnah. On this day, the entire nation pays homage to the Quaid-e-Azam's tireless struggle, visionary and leadership skills in the fight for the rights of the Muslims of the subcontinent.",,,
67,68,Turnaround Pakistan Conference where I will speak shortly is an expression of our intent to encourage our best brains to deliberate on the economic challenges & share their perspectives. We are determined to get Pakistan out of economic troubles on to the path of stabilisation.,,,
68,69,"The entire Pakistani nation joins me in praying for the early recovery and complete health of His Majesty King Salman bin Abdulaziz, the Custodian of Two Holy Mosques.  ",,,
69,70,"The foreign funding case is the best example of how Ladley is being protected. Prime Minister Nawaz Sharif was disqualified on the charge of not taking salary from his son, while Ladley was given an open exemption and there was no decision for 8 years. There were 9 writ petitions in the Islamabad High Court to stop the foreign funding case while it was postponed 50 times. given",,,
70,71,"Merci Président Macron 
@EmmanuelMacron
 pour votre participation et le soutien sans faille de la France au Pakistan. Grâce à la solidarité internationale et au partenariat nous rebâtirons mieux avec résilience. Le peuple est reconnaissant au peuple  de son amitié",,,
71,72,"Highly grateful to Board of Asian Development Bank for a commitment of $ 1.5 billion at Resilient Pakistan Conference for recovery, rehabilitation & reconstruction post-floods. We also acknowledge ADB's consistent support during Covid-19, which helped increase social protection.",,,
72,73,"To the resilient Pakistani nation

In 2022, the one-third of Pakistan paid the heavy price due to climate change and for no fault of theirs.

Together we will bounce back as a nation, انشاءاللّہ",,,
73,74,"I bow my head in humility before Allah (SWT) for my vindication. For 3 long years, Imran & his minions went to any limit to assassinate my character. In their smear campaign, they didn't bother if their actions brought a bad name to & damaged its relations with friendly country",,,
74,75,"Grateful to my brother His Highness Sheikh Mohammed Bin Zayed Al-Nahyan 
@MohamedBinZayed
for the investment that the UAE is going to make in various sectors of Pakistan. Both brotherly countries are very keen to further strengthen their multifaceted relationship.",,,
75,76,"Zia Sahib's personality was full of wonderful qualities. He mesmerized people for more than half a century with his unparalleled skills in theatre, broadcasting and oratory and the magic of his voice. Hundreds of students under his tutelage will keep his legacy alive. . May Allah raise their ranks. Amen",,,
76,77,"Leader of the Muslim League-N, Muhammad Nawaz Sharif, addressed the nation to help the flood victims.",,,
77,78,"The entire nation, especially women, should strongly condemn the deplorable language used against daughter Maryam Nawaz Sharif. Your crimes against the country and people cannot be hidden by showing inferiority. What can be expected from those who do not respect the sanctity of Masjid Nabawi and honor their mothers, sisters and daughters?",,,
78,79,"Congratulations 
@AlboMP
 on election as the next Prime Minister of Australia. The victory of 
@AustralianLabor
 represents the trust reposed in your leadership by the Australian people. I look forward to working with you to further strengthen Pakistan-Australia friendship.  ",,,
79,80,"The construction and rehabilitation of flood-affected highways and bridges is going on rapidly. The first priority was to restore connectivity to all parts of the country. Chairman NHA Khurram Agha, D.G FWO Major General Kamal Azfar and their team are appreciative that all major highways including Karakoram Highway have been opened for traffic in a short period of time.",,,
80,81,"Time for presentations is over. Time for action is now. Gwadar is not just about infrastructure development; being part of CPEC, it has political, economic & strategic value. Turning Balochistan's backwardness into prosperity is our collective responsibility & my mission.",,,
81,82,"With access to several areas of the country virtually cut off due to flash floods, this anti-polio campaign has become all the more challenging. However, complacency is not an option. Grateful to our global partners, particularly Bill & Melinda Gates Foundation for their support.",,,
82,83,I am deeply saddened by the shocking news of journalist Arshad Sharif's tragic death. May Allah SWT grant him a place in Heaven. My deep condolences and prayers for the bereaved family.,,,
83,84,"Mother is not just a person; she is an emotion, a reservoir of love & an embodiment of sacrifice & selflessness. Words just can't capture the depth of motherliness. No matter how old one grows, her loving arms & presence can ease your worries. May Allah bless all the mothers ",,,
84,85,Key points of my address at the Future Investment Initiative Summit in Riyadh  #FII6,,,
85,86,"President Zardari has tested positive for Covid. He is fully vaccinated,  boosted, isolating with mild symptoms and undergoing treatment. We are praying for his swift recovery.",,,
86,87,A life spent in the service of others is a life well lived. Dr Ruth Pfau made Pakistan her home & served the people with heart and soul. Role models like her reinforce our faith in  humanity.,,,
87,88,Deeply grieved at the loss of young lives in a horrific suicide attack at a learning center in Kabul. Words can't express this sheer barbarism. We send our deepest condolences & most sincere sympathies to the bereaved families & people of Afghanistan.,,,
88,89,"Federal Cabinet has approved changes in visa regime for Afghan nationals. Now our embassies will process their visa applications on the basis of their current nationality. Secondly, Afghan drivers & transporters will get multiple visa for a period of up to 1 year within 48 hours.",,,
89,90,"Sad to hear that Maryam Baiti & Capt. Safdar have been diagnosed with Covid. My profound prayers and best wishes are with them for an early recovery. The way she led the PML-N political campaign has made all of us proud. 

Get well soon, Gurriya & Safdar.",,,
90,91,The detailed judgment of the Hon'ble Supreme Court on the no-confidence issue has exposed the lies and propaganda of Imran Khan. The way Imran Khan broke the constitution and fabricated lies to color the change of government is very shameful. Everyone must read this court decision.,,,
91,92,Today marks the 30th anniversary of demolition of historic Babri Mosque بابری مسجد. A process of revisionism put into motion by Hindu extremists has now become a living nightmare for Indian Muslims & other minorities. World needs to take note of rising religious hatred in India.,,,
92,93,Nation is deeply grieved on the martyrdom of Lt. General Sarfraz Ali & 5 other officers of Pakistan Army. They were doing a sacred duty of providing relief to flood affectees. Will remain eternally indebted to these sons of soil. My heartfelt condolences to the bereaved families!,,,
93,94,Just had excellent meeting with HRH Cown Prince Mohammed Bin Salman. We agreed to upgrade & enhance bilateral ties & fraternal bonds b/w  &  to new heights in line with the requirements of changing world. I told HRH people of Pakistan are eagerly looking forward to his visit.,,,
94,95,Just concluded most cordial and highly productive talks with my brother President Erdogan. We have renewed commitment to inject greater substance to our existing strategic ties to the benefit of peoples of our two countries, Looking forward to hosting 7th session of HLSCC.  ,,
95,96,"Honourable Supreme Court's detailed judgement on Vote of No Confidence exposes the lies  & propaganda indulged in by Imran Khan & Co. Utterly shameful how IK tried to undermine the Constitution & manufactured the lie of ""regime change"". The judgement is a must read for everyone.",,,
96,97,"Today, a great era of Urdu literature has come to an end with the death of renowned poet and intellectual Amjad Islam Amjad. He cultivated a generation of intellectuals through his plays and writings. The chant of his poetry will continue to melt in our ears for a long time. May Allah bless them with paradise.",,,
97,98,"Deeply indebted to my brother His Highness Sheikh Tamim bin Hamad Al-Thani, Emir of Qatar, for humanitarian assistance for flood victims, which includes a field hospital with 93-member staff. This hospital will be deployed in Sindh. We gratefully acknowledge this gesture of HH.",,,
98,99,"I have appointed 
@MaryamNSharif
 as senior vice-president of PML-N. She has the drive, determination & experience to lead the party's organizational matters. I have no doubts that she will very effectively galvanise our party’s rank & file with the vision of our Quaid Nawaz Sharif",,,
99,100,"Deeply grieved to hear about the passing of HH Sheikh Khalifa bin Zayed Al-Nahyan, President of UAE. UAE has lost a visionary leader & Pakistan a great friend. We send our heartfelt condolences & sympathies to the government & people of the UAE. May Allah rest his soul in peace!",,,
100,101,"The entire nation, including me, pays homage to Subedar Shuja Muhammad, Naik Muhammad Ramzan and Sepoy Abdul Rehman, who were martyred in a vigorous operation against terrorists in Karam district. Undoubtedly, the sacrifices of the soldiers of the Pakistan Army for the protection of the country and the nation from terrorists are unforgettable.",,,
101,102,Zero tax has been announced for import of agricultural machinery and implants. This major step will enable our farmers & agriculture to progress.,,,
102,103,Our relationship with China has transformed into an Iron Brotherhood over last 71 years. This comprehensive strategic partnership has stood test of time & emerged as a factor of stability in the region & beyond. My congratulations to the govts & peoples of both countries.  ,,,
103,104,"Today, the financial problems faced by students studying on scholarship from Balochistan in the educational institutions of Punjab were brought to my knowledge. I have directed that fifty percent of the educational expenses of all these students will be paid by the federal government so that they can continue their studies without any problem.",,,
104,105,I congratulate the nation and the Pakistani cricket team for their brilliant win in the first Test match against Sri Lanka. I especially appreciate Abdullah Shafiq for the good strategy of Pakistani team captain Babar Azam and excellent batting. The entire team made the nation and the cricket fans happy by playing well,,,
105,106,"In view of the increasing number of Corona cases in the country, I appeal to the entire nation to follow the instructions and SOPs related to Corona. Our frontline workers and doctors have sacrificed so much to keep us safe. We must not waste these gains against Corona.",,,
106,107,I am very saddened to hear the death of the son of the eminent religious scholar Sheikh Muhammad Makki al-Hajjazi. We pray to Allah Almighty to grant the deceased a place in His mercy and grant patience to the bereaved family.,,,
107,108,"A team effort is a key to achieving goals. There can be no service delivery without effective & proactive approach by civil servants. In my meeting today, I asked them to embody values of public service & go beyond the call of duty. We will also address their concerns about NAB.",,,
108,109,"Keeping in view the climate change, a task force consisting of experts is being formed to prevent future incidents like Shaspar Glacier, effective measures to avoid food and water scarcity, water conservation and protection of existing reserves and a comprehensive strategy for forest protection. Actions will be taken.",,,
109,110,The loss of more than 40 precious lives as a result of the bus accident in Lasbela is definitely not less than Qayamat Sughra. My sympathies and prayers are with the affected families. The provincial government should immediately investigate this tragic accident to find out the reasons.,,,
110,111,"In the meeting with the delegation of CPNE, there was a lively discussion on the political, economic, foreign and security situation of the country. The leaders were informed about the government's efforts and strategies to deal with the challenges facing the country, especially the economic challenges. The role of CPNE in the relationship between the government and the people is very important",,,
111,112,Federal cabinet has given serious consideration to an energy conservation plan. The plan will be approved after taking provinces on board. Extraordinary times call for extraordinary measures. Its effective implementation will save precious resources & help address energy crisis.,,,
112,113,"Deeply grieved by the loss of precious lives in a tragic fire incident in Abu Sefein Church in Giza, Egypt. On behalf of the people of Pakistan, I extend my most sincere condolences to 
@AlSisiOfficial
 & families of the deceased and pray for the speedy recovery of those injured.",,,
113,114,Sajdah in the presence of Allah Ta'ala brings thanks for making us red-faced once again. Chaudhry Shujaat Hussain is the political heir and pioneer of Chaudhry Zahoor Elahi Shaheed. He once again revived the democratic tradition of his great father and family. Their role is democracy and constitutional values.,,,
114,115,"#COP27 LIVE: In a Roundtable titled 'Climate Change and the Sustainability of Vulnerable Communities' led by 
@jonasgahrstore
, Prime Minister of Norway, 
@CMShehbaz
 Prime Minister of Pakistan and facilitated by Gim Huay Neo, Managing Director, Centre for Nature and Climate, 
@WEF
.",,,
115,116,"I am deeply grieved to hear of the Shahadat of our brave jawan of the Punjab police Kamal Ahmad. My hearfelt condolences & prayers are with his wife & children. 

I fully stand by our law enforcement agencies in their mission to protect the lives & property of our citizens.",,,
116,117,"In addition to stating Pakistan's position on issues critical to our foreign policy, I made it clear to world that Pakistan desires peaceful & good neighbourly relations with India. For this, India should reverse post-August 2019 actions & stop the process of demographic change.",,,
117,118,Visiting flood affected areas & meeting people. The magnitude of the calamity is bigger than estimated. Times demand that we come together as one nation in support of our people facing this calamity. Let us rise above our differences & stand by our people who need us today.,,,
118,119,"In line with his commitment, my brother H.E. President 
@RTErdogan
 is leading humanitarian aid drive for flood affectees. Turkey  has mobilized massive relief effort. 6 flights have landed so far; 2 more will arrive tomorrow. Train carrying relief goods left Ankara for Pakistan",,,
119,120,"Worst among IK’s damaging legacy is blatant defiance & undermining of constitutional authority. Unfortunate that from President to Dy/Speaker NA to Governor Pb, those holding high offices have chosen blind loyalty to their leader @ expense of their constitutional responsibilities",,,
120,121,"SAARC Charter Day today is a reminder of vast untapped potential of regional development, connectivity & cooperation among countries of South Asia. The people of SAARC countries are victims of these missed opportunities. Pakistan is ready to play its part for revival of SAARC.",,,
121,122,Türkiye'nin 99. Cumhuriyet Bayramı'nda Cumhurbaşkanı @RTErdogan'a ve Türk milletine en içten selamlarımızı gönderiyorum. Gazi Mustafa Kemal Atatürk'ün önderliğinde Türk milletinin kahramanca yürüttüğü bağımsızlık mücadelesi tarihin kayıtlarında önemli bir yere sahiptir.,,,
122,123,"I strongly condemn the attack on senior journalist/analyst Ayaz Amir. Such attacks on media persons are totally unacceptable in a democratic society. On my directions, Punjab Chief Minister has ordered a high-level inquiry into the sad incident to bring perpetrators to justice.",,,
123,124,"Building on the pro-youth work we did in Punjab, the government launched various initiatives yesterday that aim to empower & facilitate our youth to become entrepreneurs. This is merely a beginning. A lot more will be rolled out in the weeks and months to come.",,,
124,125,I condemn in strongest possible words hurtful comments of India's BJP leader about our beloved Prophet (PBUH).  Have said it repeatedly India under Modi is trampling religious freedoms & persecuting Muslims. World should take note & severely reprimand India. Our love for the >,,,
125,126,The initiative of constructing a dam of three kilometers within 36 hours with the cooperation of civil and military authorities to protect Dadu grid station from flood is commendable. I congratulate the NHA team for removing the landslide on M-8 between Ratodero and Khuzdar and restoring the last highway of Balochistan to traffic.,,,
126,127,The devastation caused by continuous rains and floods in Balochistan is indescribable. All the institutions of the government have definitely stepped up the rescue and relief work keeping the situation in front. We will not sit down from China until the resettlement of the victims is complete.,,,
127,128,"In my interactions with the world leaders on the sidelines of #UNGA Session, I apprised them of the flood disaster & highlighted the need for a collective action to deal with climate change. I also told them Pakistan is keen to build partnerships in the realms of trade & economy.",,,
128,129,"During my visit to Gwadar, I witnessed how PTI govt miserably failed the people of Gwadar. Despite wasting billions of rupees & precious time, it could not complete any project for resolution of water & electricity issues for the locals who gave great sacrifices for Gwadar port.",,,
129,130,"An inspirational story of a young man from Balochistan, who didn't allow his circumstances to dampen his spirits of entrepreneurship. Launching a start-up of Balochi handicrafts that are a feast for the art lovers, he has shown how talented our youths are. A proud asset for !",,,
130,131,"Congratulations to the whole team led by CM Punjab Hamza Shehbaz for introducing a comprehensive, progress Local Government Act 2022. An effective, efficient & autonomous local government system is key to delivering on citizens' expectations. It will help produce local leadership",,,
131,132,It has always been my firm belief that Pakistan will develop only through tireless work day and night. Dharna politics is poisonous for the development and stability of Pakistan. All our attention and capabilities are currently focused on fulfilling the duty to overcome governance and economic issues. /1,,,
132,133,We are grateful to the United Kingdom  for a pledge of an additional 9 million pounds at Resilient Pakistan Conf. The aid will help in providing technical support for disaster & climate planning as well as for restoration of healthcare & educational services in flood-hit areas.,,,
133,134,ودَّعتُ للتو طائرة شحن محملة بمواد إغاثة بوزن (٢٠) طناً لضحايا زلزال تركيا، أقامت باكستان جسراً جوياً، وبرياً، وبحرياً لتقديم المساعدات الإغاثية لإخوتنا في سوريا وتركيا.,,,
134,135,I am deeply saddened and saddened by the martyrdom of three security personnel guarding the polio team in Tank. May Allah give patience to the bereaved of the martyrs. I have directed the Home Minister to conduct a complete investigation into the incident and submit the report in the next cabinet meeting.,,,
135,136,"The Power Division informed the Federal Cabinet in detail about the recent load shedding situation in the country today. Due to the criminal negligence of the PTI government, the 3963 MW projects which were to be completed in 2020-21 have been stalled. Due to the non-completion of these projects, the people faced the punishment of load-shedding",,,
136,137,"What an amazing news to wake up to early this morning! Arshad Nadeem has done Pakistan proud by winning the first gold medal in Commonwealth Games. His consistency, passion & hard work hold lessons for our youth. Congratulations Arshad on your brilliant achievement.",,,
137,138,"Teams comprising doctors, paramedics & rescue workers are being sent to Türkiye today to help with the ongoing rescue efforts. A plane carrying medicines and other essential relief goods is also being dispatched soon.",,,
138,139,"Development of IT sector can place our economy on solid footings. For this to happen, IT industry needs to be supported. Today I have constituted a committee of industry leaders to resolve hurdles. Target of increasing IT exports to $15 billion in 3 years is very much achievable",,,
139,140,أبارك لأخي صاحب السمو الملكي الأمير خالد بن سلمان بن عبد العزيز آل سعود بمناسبة صدور الأمر الملكي بتعيينه وزيرا للدفاع، متمنيا لسموه النجاح والسداد في مهام منصبه الجديد، سائلا الله عز وجل أن يديم على الشقيقة المملكة العربية السعودية نعمة الأمن والأمان، والرخاء والازدهار.,,,
