,Unnamed: 0,Tweets
41,41,"It was 25th March 1992 when Pakistan under the leadership of skipper Imran Khan won the World Cup. On the 25th March 2023 at Minar-e-Pakistan, we refreshed some of the cricket memories from the legends Khan's era. Crowds loved it. 
#حقیقی_آزادی_جلسہ"
42,42,"What a powerful speech by IK at Minar e Pakistan! 

1) he has lifted the Nation once again 

2) stripped the establishment naked by showing the video evidence 

3) demonstrated that Pakistan has changed; the roars of the passionate crowd gives goosebumps

#جلسہ_نہیں_ریفرینڈم_ہے"
43,43,"Remember this guy? Look, he's addressing PTI jalsa today. "
44,44,"Allahumdullilah, after getting a post arrest bail in Quetta, Br. 
@HniaziISF
 has also gotten a bail in another frivolous case in Islamabad. We will ensure that the fascist regime is held accountable for subjecting an innocent man to illegal & inhumane treatment.

Our Lion is Back!"
45,45,Khan is not behind the bulletproof glass because of the enemies but because of the traitors of his country. The enemy has the ability to strike from the front.
46,46,It seems that the PML-N has once again made a plan to split and attack the Supreme Court like in the past. But this time the nation stands with the Chief Justice
47,47,"Pakistan Tehreek-e-Insaf will hold a meeting in Lahore today, Imran Khan will announce the future action plan in his important speech, preparations are complete!!!"
48,48,"Democracy?
Gayi bhaar main!
#Lahore"
49,49,"IK’s roadmap for Pakistan
1. overseas investment 
2. enabling exporters
3. tourism
4. minerals
5. agriculture
6. boosting small and medium industries
7. restructuring big corporations
8. expanding  tax net
9. ensuring rule of law
10. initiating humanitarian programs"
50,50,Shukriya Lahore!! #StatesmanSpeech
51,51,"#Minar_Pakistan_Regarding the rally and rain and how to take revenge for shooting Imran Khan - ??

#ReleaseAzharMashwani #ReleaseHassaanNiazi"
52,52,"Islamabad! There’s a protest organised against the abduction of 
@MashwaniAzhar
 tomorrow at Islamabad Press Club. Time: 2PM! #ReleaseAzharMashwani"
53,53,"Male believer Azhar Mashwani was abducted from Lahore by unknown people! Such tactics cannot end the real freedom struggle. We cannot enslave these youths by arresting their free thinking

#ReleaseAzharMashwani"
54,54,"Today at 3 pm for the release of Azhar Mashwani, there is a request for the participation of as many people as possible in the big protest in front of the Lahore Press Club!
 #ReleaseAzharMashwani"
55,55,Scenes of Imran Khan's appearance in Lahore High Court
56,56,"Today is March 27 (I've kept the sticker), the date when Imran Khan changed Pakistan's politics last year, the next phase of PTI's twenty-six-year political struggle, which is called a national movement, is appropriate. (cont..)"
57,57,Lahore #Real_Azadi_Julsa
58,58,Haripur Police raided the house of Bilal PTI SMT Head Dist Haripur. He wasn't there so they have picked up his elderly father & uncle!! Completely against KPK norms!! Shameful!! Release Bilal's elderly father & uncle immediately.  @PTIofficial @PTIHaripur1
59,59,"This conscious nation is present at Minar Pakistan Jalsa Gah, overcoming every obstacle at the signal of its leader Imran Khan, workers and people are full of patriotism, these souls of Pakistan are ready to die for their leader.
#true_freedom_meeting"
60,60,Special conversation with Imran Khan in Anti-Terrorism Court: #حقيقي_ازادي_جلسة
61,61,Release Azhar Mashwani! #ReleaseAzharMashwani
62,62,"If there is an allegation against a citizen, action can be taken within the scope of law, but as Azhar Mashwani has been missing for two days, it is alarming and sad. There is also a heavy responsibility but I don't know why he is silent https://twitter.com/MianAliAshfaq/status/1639505382727905282…"
63,63,"“I want to tell my Nation to never back off against these fascist”-
@ImranKhanPTI
 #حقیقی_آزادی_جلسہ"
64,64,"Azhar Mashwani was picked up, he does not know where he is? Tried to torture and humiliate my nephew Hassan Niazi, remember honor and humiliation are in the hands of Allah alone. Imran Khan

 #true_freedom_meeting"
65,65,Even my parked car with no one inside was attacked with windows smashed. This is pure fascism being carried out at behest of IG Islamabad backed by the Neutrals to create terror in ordinary citizens who support PTI.
66,66,"The nation will never forget this dark chapter of oppression and fascism.
#ReleaseAzharMashwani"
67,67,"It would have made the hearts of Lahoris happy
 #Lahore_meeting"
68,68,"Bravery is channelling his hurt and pain into demanding of fear to move aside and out of his way.

#ReleaseHassaanNiazi"
69,69,"""Thank you, Lahore, thank you, Pakistan - what a historic Jalsa Khan Sahib did, which you made a success. ""Lahorites have covered you"" via
@mjkhanlovelypk1
 

#Meeting_is_not_a_referendum"
70,70,"The resolution of Pakistan was presented in 1940 and today Imran Khan has presented the resolution to save Pakistan at the same place!

 #StatesmanSpeech"
71,71,"Today, re-election was held in two UCs of local body elections in Hyderabad. Only 2 UCs were elected today. Police bullying of PPP was on the rise. The whole administration was supporting PPP. The workers were killed and tortured.
#Hyderabad_Captain_Ka"
72,72,"Get out for your future
Get out for your children
Get out for freedom
Otherwise, the situation will get worse

#Let's_Let's_Minar_Pakistan_Let's go"
73,73,"Mendatory selfie when u see people oozing in, left right & centre despite crackdowns on workers+leaders intimidating others,despite major road blocks & u see enormous crowd charged up cheering for their leader.
@fawadchaudhry
 
@SibgatullahVirk
 
@RizwanAhmedCMD
 
#حقیقی_آزادی_جلسہ"
74,74,"Thread by 
@iKarachiwala
 on the anniversary of historic March 27, 2022 Jalsa where Imran Khan changed the dynamics of Pakistan's politics! #پاکستان_کی_ضرورت_عمران"
75,75,"I've compiled a detailed report explaining RCO in Pak & the fascism, human rights violations & ruination of rule of law that followed. Purpose - 1/2

CC: 
@fawadchaudhry
 @MoeedNj
 @FarrukhHabibISF
 @sayedzbukhari
 @ShahabSpeaks
 @Hammad_Azhar
 @FaisalJavedKhan"
76,76,Azhar Mashwani's wife's letter to Chief Justice of Pakistan on enforced disappearance and abduction #ReleaseAzharMashwani
77,77,"You have lost, give up!!!"
78,78,"… 
@agentjay2009
 tell your team we are all in this together. This shall pass too. Stay strong comrades. #PakistanUnderFascism"
79,79,"So here the cowardly enemy has lost
From me came an army against the lonely

#PakistanUnderFascism
#BehindYouPTISMT"
80,80,"When the ppl rise no roadblock or any impediment by the State can stop them. People came from all over Lahore despite blockades (see map) to attend PTI jalsa at Minar-i-Pakistan. Amazing crowd, intense passion & resolute commitment. This was more than a jalsa, it was a referendum"
81,81,"People like Usman Jora should’ve been honoured with gallantry awards.
Instead, he’s being illegally detained in the fascist state of Pakistan."
82,82,"This nation has only one demand!! freedom!!!

#true_freedom_meeting
#Meeting_is_not_a_referendum"
83,83,"Azhar Mashwani, our social media worker, has been picked up and I don't know where he has been kept. I am receiving messages from his sisters, his brothers have found me, his parents are worried, his wife is worried. Imran Khan

 #ReleaseAzharMashwani"
84,84,"By blacking out the media. By making arrests. By shutting down the entire Punjab. By making a curfew. By violence. Everything was done and seen, but Lahore put political bait behind Babang Dahal Khan.

Attendees at wedding halls were forced to sleep by taking Lexotanil tablets tonight.

Allah is true"
85,85,Chairman Imran Khan off to Islamabad for yet another court appearance. May Allah keep him safe!
86,86,"This article ""Watches Loot Sale"" consists of these 3 things
(1) Gifts are for the state and not for officials (2) Hide and seek (3) Punish embezzlers"
87,87,"There is no example of government oppression, Azhar Mashwani was taken from Lahore in broad daylight and till now there is no trace of him.
@fawadchaudhry
  #ReleaseAzharMashwani"
88,88,"If you think that this mafia will give up the life of Pakistan so easily, then don't be under any misconception, a nation has to struggle for its freedom and sacrifices have to be made.
@ImranKhanPTI
 
#true_freedom_meeting"
89,89,Chairman Imran Khan leaves for Islamabad High Court from Zaman Park
90,90,"Nothing less than a Salute for them - these were the people who made the Jalsa a success - #Jalsa_Nahein_Referendum_HAE

#StatesmanSpeech"
91,91,Scenes of the assembly hall at midnight.
92,92,"Fawad Chaudhry and Asad Umar,
@AzamKhanSwatiPk
 Azhar Mashwani doing a press conference with his brother- #ReleaseAzharMashwani"
93,93,"Ex-Lead PTI SMT District Bahawalpur and President PTI OC Sharif Maki Muawiya
@Makkimaviya
 strongly condemn the arrest of"
94,94,"Shocked at silence of UNHCHR 
@volker_turk
 on the massive HR violations by the present rulers in Pak. Pak is State Party to 7 HR conventions including ICCPR & CAT. Yet everyday violations happening with custodial torture, abductions, total muzzling of press, home break-ins,"
95,95,"Chairman Imran Khan will address a public meeting tonight at Minar Pakistan, Lahore."
96,96,"“Who will decide which will be the correct time for election, who will decide when funds will be available and when not? The constitution is supreme”-
@ImranKhanPTI
 #حقیقی_آزادی_جلسہ"
97,97,"Mashallah Lahore!!!!!
 #true_freedom_meeting"
98,98,"Cc Media Outlets: 
@TIME
@WSJ
 
@nytimes
 
@CNN
@BBCWorld
@washingtonpost
 
@Reuters
 
@EconomicTimes
 
@AlJazeera
@thehill
 
@CNNi
@thedailybeast
 
@khaleejtimes
 
@democracynow
 
@NikkeiAsia"
99,99,"PTI Chairman 
@ImranKhanPTI
 talks about detailed points of his program to revive Pakistan’s economy:  #جلسہ_نہیں_ریفرینڈم_ہے"
100,100,"Official ANP spokesperson 
@SamarHBilour
 publicly admitting the Rs 20 bln atta subsidy programme financed with provincial funds by the ""neutral"" caretaker govt is actually a political tool in the hands of PDM, JUI & ANP.
Will 
@ECP_Pakistan
 & caretaker CM Azam Khan remain silent?"
101,101,"Complete breakdown of Rule of Law under cabal of crooks reflected in ICT police picking up 3 kids, 12 yr Asad, 13 yr Usman & 14 yr Saqib, as PTI ""terrorists"". Now they have been sent on judicial remand violating our law for Juveniles. Request CJ IHC to intervene & set them free."
102,102,"We demand the immediate release of Azhar Mashwani, Shahid Hussain, Dr. Rubina Akhtar, Hassan Niazi, and thousands of other PTI workers who have been arrested under bogus cases or abducted by authorities in Pakistan. The PDM government's crackdown on PTI workers and leaders is… Show more"
103,103,#ReleaseAzharMashwani
104,104,"On behalf of PTI Karachi, Live Screening of Minar Pakistan Lahore Jalsa has been organized in Shah Faisal Colony No. 3 today at 9 PM.

All Karachiites are requested to participate.
 #true_freedom_meeting"
105,105,"Worst form of crackdown on PTI SMT by this fascist regime:

Azhar Mashwani: Focal Person to IK - missing since 4 days 
Arshad Siddiqui: Sindh SMT Ops Lead missing since noon
Ikram Khatana: KP SMT Lead - house raided
Bilal: KP SMT ops Lead - House Raided, brother & father arrested"
106,106,"I am the slogan of truth and truth
The green crescent flag
 I am a shining star
I gave allegiance to the country and nation
A true sign
Yes, I am Azhar Mashwani
I am the beginning of freedom
Yes, I am Hassan Niazi

From me to my brothers
@MashwaniAzhar
 ,
@HniaziISF
 of the
#ReleaseAzharMashwani
#ReleaseHassanNiazi"
107,107,Footage of the arrest of Imran Khan's photographer Nauman
108,108,"Today is the 23rd March, Pakistan Day and 1st of Ramazan and this fascist government has abducted another political activist and our friend 
@MashwaniAzhar
 from outside his house in Lahore. 

Horrific times in Pakistan with martial law fully implemented. 

#ReleaseAzharMashwani"
109,109,"Chairman Imran Khan Motorway to Lahore.

Praying at the time of breaking the fast."
110,110,Restricted arrivals prevent the people from coming in
111,111,"The goods received in aid for flood victims from around the world were used to buy votes in local government by-elections in Sindh. PPP started rigging to win a poll in Umarkot. The identity cards of the flood victims were taken in lieu of blankets.
#Keep_Azhar_Mishwani_Ko"
112,112,Where did the sanctity of the chador and four walls go? No home is safe.
113,113,"The state of Madinah was based on justice and fairness, people were freed there and then they led the world. Imran Khan
 #true_freedom_meeting"
114,114,Chairman Imran Khan gave a 10-point plan for economic recovery. #StatesmanSpeech
115,115,"""Pakistan Tehreek-e-Insaf, Minar Pakistan Jalsa""
Tonight at 9 o'clock after Taraweeh prayer
#true_freedom_meeting
VC:
@ItzAhmedkhalfan"
116,116,"Minar-e-Pakistan is coming
Coming for #Real_Azadi_Jalsa
Today, a resolution will be presented in Minar-e-Pakistan to replace the obsolete system that has been in place for 75 years
This resolution is the heartbeat of millions of people
@ImranKhanPTI
 Will present
Every Pakistani should reach no matter how he reaches, reach for the sake of Pakistan"
117,117,"In 1997 PMLN attacked #SupremeCourt of Pakistan and now history is being repeated by attacking Chief Justice of Pakistan.

The entire Pakistan is with Supreme Court.

#NationSupportsCJP"
118,118,"Azhar Mashwani has been abducted from Lahore on Thursday afternoon, despite the passage of 48 hours, his custody has not yet been revealed by any agency. This young man who dreams of the betterment of the country is facing enforced disappearance in Pakistan #ReleaseAzharMashwani"
119,119,Impressive show by PTI in lahore! https://twitter.com/hasanrazalhr/status/1639700721972002817…
120,120,"Operation regime change complete failure.
come fight
#true_freedom_meeting"
121,121,"Will be the captain. Yes, yes
 #true_freedom_meeting"
122,122,"Azhar has been missing for 44 hours now. I can only imagine what his mother & wife are going through. Here is his wife 
@MahnoorAzhar_
 ‘s voice note from space session; we are all pleading for justice to Honorable Chief Justice & Supreme Court of Pakistan #ReleaseAzharMashwani"
123,123,"Tehreek-e-Insaf Minar Pakistan Jalsa

Saturday 25 March

After Taraweeh prayer
9 pm!

 #ReleaseAzharMashwani"
124,124,The whole country has woken up! Mashallah #Haqqiqi_Azadi_Jalsa
125,125,"How long is this dual system?

#ReleaseAzharMashwani"
126,126,"Hundreds of workers of Tehreek-e-Insaf were arrested in the hope that after that only government touts will rule on social media. What difference did it make? There is no understanding or awareness that there are millions of people on social media, even if they are not affiliated with political parties, they will have an independent opinion and this opinion rejects this system of oppression."
127,127,"This game is the game of truth
Only the right will win this game
This play is the play of truth
The truth will win this game
This is Pakistan's game
Pakistan will win
Amjad Nawaz
@AmjadNawazUSA
#true_freedom_meeting"
128,128,"The entire nation stands with its Supreme Court!!
#NationSupportsCJP"
129,129,"Senator 
@AzamKhanSwatiPk
’s exclusive message from Minar-E-Pakistan! #حقیقی_آزادی_جلسہ"
130,130,"A protest was held in Sacramento, CA on Mar 26th, by Pakistani-Americans concerned about the state of democracy and the violations of human rights in Pakistan.

Protestors called for elections to be held in order to set the country back on the path to stability.

#PTIUSAProtest… Show more"
131,131,"Who’s the real GOAT? 

Video shared by: 
@insafnorway"
132,132,"15.7 million views on YouTube!!!
Imran Khan doesn't need the media, Media needs IMRAN KHAN.
Analysis by: 
@asherbajwa
 
#حقیقی_آزادی_جلسہ"
133,133,"""Today I want to thank you especially that despite so many obstacles, Minar reached Pakistan today. Today, I want to convey a message to all the institutions that are in power in this country. I am afraid that our country will reach a place where no one is. Can handle the industry is closing, inflation is increasing... Show more"
134,134,"Mora than 100h, and Azhar Mashwani still couldn’t be produced in any court, still no FIR has been presented.

#ReleaseAzharMashwani immediately!!"
135,135,"Scenes of Chairman Imran Khan arriving at Lahore Minar Pakistan meeting hall -- the sea of ​​people

Click this link to watch full video of Zaman Park to Yanar Pakistan Jalsa Gah
https://youtube.com/@iktoday8108"
136,136,"The destination is two or four steps away
Are not afraid or will not be afraid
We are for freedom now
Every life will be hit
For the sake of our survival
Now they will die of passion

(Speech and Sound: Amjad Nawaz)

#true_freedom_meeting"
137,137,"Pakistan Tehreek-e-Insaf Vice Chairman Makhdoom Shah Mehmood Qureshi, Secretary General PTI Asad Umar and former MNA Makhdoomzada Zain Qureshi met with the ambassadors of European Union countries at the residence of the Austrian Ambassador in Islamabad.

During the meeting, on the current economic and political situation of Pakistan... Show more"
138,138,Marriyum Aurangzaib wants anchors to condemn the tweet of ⁦@fawadchaudhry⁩ - Imagine!
139,139,"PTI Chairman Imran Khan leaves for appearance in ATC Court for protective bail
 https://twitter.com/RegnlTelegraph/status/1639535651212128257/video/1…"
140,140,"A political activist is an ordinary citizen who has mothers, sisters, daughters in his house. Is this dishonorable? Did we gain freedom by sacrificing millions to see our women being dishonored?
Better enemies than that were the British and Hindus, we knew that there were enemies
#true_freedom_meeting"
141,141,"The Minar Pakistan Jalsa will be a public referendum, God willing, the nation will prove that it stands with democracy, rule of law, and true freedom...

Azadi Jalsa, tomorrow after Namaz Taraweeh Minar Pakistan Lahore! 

#حقیقی_آزادی_جلسہ"
142,142,"Important Address by Chairman PTI Imran Khan

Live now."
143,143,"~ Consider the language of creation to be the voice of God.
They are not members of any social media team.
In this thread #PTISpaceSession common people of Pakistan are raising their voices to other Pakistanis and higher authorities
- Sadia
@MashwaniAzhar
Worried about the abduction and torture of workers and other people.
#Zaban_E_Khalq"
144,144,"#StatesmanSpeech 

Ten-point Economic Turnaround program by the   PM in-waiting. 

Foreign Direct Investment
Exports traction
Tourism
Extractive industries
SME sector
Agriculture
Ease of Doing Business
Widening the tax net
Decimating money laundering
Rehabilitating the needy"
145,145,"I have seen this movie before in the 90s. N league has always strived to keep the SC under its thumb through bribing, blackmailing and removal of Judges. Time to bury this Scilian mafia and the 1985 project for good. CJ , people of Pakistan are fully behind you
#NationSupportsCj"
146,146,"At that time of night, when only women were present in my house, the police raided as if to arrest a terrorist. At present, Zardari Kabcha and his handlers are doing the worst crackdown against PTI workers just so that Minar Pakistan Jalsa cannot be successful. So much fear so much fear?"
147,147,"These young people have now broken the idols of fear. Uzair Saleem's 14-day physical remand request was rejected, judicially sent to jail.
#ReleaseUzairSaleemISF"
148,148,"We People of Pakistan are suffering the worst of fascism by this imported government... who has taken our freedom of speech by their fascist policies .... Stay strong 
@PTIofficial
 social media team 
@agentjay2009
 
We stand together 
@hrw
 @cnni
 @amnestyusa
 
#PakistanUnderFasicsm"
149,149,"Young Azhar Mashwani has been abducted for three days, a big protest is being held outside Lahore Press Club at 3 o'clock today for his release.
 #ReleaseAzharMashwani"
150,150,"Tomorrow's meeting will determine the future direction of Pakistan, God willing, the nation will prove that it will never accept the gang of NRO-ridden thieves.
 #true_freedom_meeting"
151,151,"I don't understand whether this person talking about the killing of the most popular leader of Pakistan is the interior minister of the Islamic Republic of Pakistan or the leader of a terrorist organization.

As openly and comfortably as it is talking about the murder of Imran Khan, one of our workers also accused some of the PML-G's henchmen... Show more"
152,152,"The unprecedented targeting of PTI workers & ldrs thru abductions, raids on homes, custodial torture, arrests on sham FIRs - total violation of Constitution & fundamental rights."
153,153,"Imran Khan: ‘Going out is like playing Russian roulette’ 

“Up to 1,000 of Mr Khan's supporters have been arrested in the past few days including his nephew, Hassan Niazi, and his social media chief, Azhar Mashwani is missing.”

#ReleaseAzharMashwani"
154,154,Imran Khan's caravan reached number 26
155,155,"PTI Secretary General 
@Asad_Umar
 talks about the abduction of 
@MashwaniAzhar
 and Shahid Hussain. #ReleaseAzharMashwani"
156,156,Imran Khan told this 10-point agenda to solve Pakistan's problems in a historic meeting at Minar Pakistan yesterday. Let's examine what will really change from these 10 points? And will Imran Khan really take practical measures in this regard and are they really feasible or not?
157,157,"Feel the difference 

Imran Khan                         Maryam Nawaz

 1-export plans                  Tosha Khan 
2-tourism                             Ghari chor 
3-minerals.                          Fitna 
4-remittances.                   Fasad
5-small businesses.… Show more"
158,158,"Khan's address made the Jalsagaah drown in brightness and glistening. What a beautiful, articulated, speech he delivered that too straight from the heart. As usual he began with IYYAKA NA’BUDU WA IYYAKA NASTAEEN. He first explained concept of Aazadi and Ghulami 
#StatesmanSpeech"
159,159,This love for Imran Khan is actually love for Pakistan
160,160,"After 75 years, the fear of a nation becoming independent

#true_freedom_meeting"
161,161,"Fascist Govt has again black out the coverage of 
@ImranKhanPTI
  when he is on his way to attend court hearing in Frevilous Fabricated Cases made by Fascist PDM Govt & their INTERIOR Minister for PTI Freedom of Speech/ Expression in Pakistan is completely negated 
@DrAliceJEdwards"
162,162,"After 24 hours since Azhar Mashwani is missing. 

Police has refused to lodge FIR of his abduction. 

Courts have raised objections on habeas corpus petition & refused to entertain it today.

No law enforcement agency of  has acknowledged his arrest. 

#ReleaseAzharMashwani"
163,163,"Moeed Pirzada congratulates the people of Lahore on the success of the Minar Pakistan Jalsa.
Despite the obstacles that the government had put in place, reaching the rally in this number is a priceless achievement of Zinda Dalane Lahoreis.
Not only the obstacles but also the leadership of Tehreek-e-Insaf was detained
@MoeedNj"
164,164,"Strongly condemn the illegal kidnapping of 
@MashwaniAzhar
 and demand his immediate release. The blatant violation of Human Rights day after day continue as this #importedFascistGovt uses state departments to spread their terror. #ReleaseAzharMashwani #PakistanUnderFasicsm"
165,165,"In such a situation, they want the caretaker government of Punjab to continue working till October. wonderful. Have you ever seen such a watchful and neutral government that arrests Chen Chen as a servant of another political party?
#ReleaseAzharMashwani"
166,166,"She is saying this in gestures
That soon we will see a drastic revolution

VC:
@BazurgHoonMein
#Meeting_is_not_a_referendum"
167,167,"People of Pakistan
Yesterday you all prayed for Imran Khan, for the leadership of Tehreek-e-Insaf, for Azhar Mashwani,
For true freedom witness,
For Arshad Sharif and District Shah, Minar Pakistan #Haqqiqi_Azadi_Jalsa Gah has to be reached, InshAllah.

#Awam_Ka_Faisal_Imran_Khan"
168,168,"One of our most diligent SMT members, 
@ArshadSidiqi
 ,has been missing since morning. He left his house to go to work, did not reach the office, and his phone is switched off. An ordinary Pakistani striving for justice, humanity and self-Esteem in Pakistan
#ReleaseArshadSiddiqui"
169,169,"Protest against the abduction of  
@MashwaniAzhar
Today, Tuesday, 28th March
2.00 PM at Islamabad Press Club! #ReleaseAzharMashwani"
170,170,"@UbaidIntellect1
 : Former Social media head PTI Sindh: raid at his home, they took his brother."
171,171,"There are no reports yet. The elder brother has gone to file a petition in the High Court
@MianAliAshfaq
 gave full support and the justices on social media paid their respects. If Azhar had appeared, he would have campaigned for today's rally. In his absence, we have to fulfill the promise of allegiance to this soil. #Azhar_Mishwani"
172,172,"#چلو_چلو_مینار_پاکستان_چلو
Imran Khan is going to hold the largest Jalsa in the history of Pakistan on March 25 at Lahore Minar-e-Pakistan, the conscious people of Pakistan will participate in large numbers & send the message that we stand with Imran Khan for the sake of Haqeeqi… Show more"
173,173,"The case of re-polling in Hyderabad UC 28 is again the hooliganism of the PPP.

PPP candidate, his goons are beating Tehreek-e-Insaf workers in the presence of the police, the police is not stopping them.

#Hyderabad_Captain_Ka"
174,174,"Animal treatment of political workers
Gave hot smelly drinking water
Eat raw spoiled eggs
Put water in the curry
Heena was not given anything to eat even after breaking the fast
Beaten with sticks and sticks like animals inside Imran's house
25 in seven barracks and 26 in another barrack… Show more"
175,175,"Today 3:00 PM at Lahore Press Club.

#ReleaseAzharMashwani 
@PTIofficial
 @ImranKhanPTI"
176,176,"Now cracking down on social media,
Those who are not getting their hands are being harassed by their brothers, parents. Time passes, things are remembered.
#BehindYouPTISMT"
177,177,"Minar Pakistan Jalsa will be a public referendum, God willing, the nation will prove that it stands with democracy, rule of law and true freedom. #true_freedom_meeting"
